Pavarde             Vardas              ND1       ND2       ND3       ND4       ND5       Egzaminas           Galutinis (Vid.)    Galutinis (Med.)    
Pavarde382          Vardas382           1         5         6         7         9         8                   7                   7.2                 
Pavarde383          Vardas383           1         4         5         8         9         8                   7                   6.8                 
Pavarde384          Vardas384           2         3         5         5         6         2                   2.9                 3.2                 
Pavarde385          Vardas385           1         6         7         7         9         9                   7.8                 8.2                 
Pavarde386          Vardas386           3         3         5         7         9         1                   2.8                 2.6                 
Pavarde387          Vardas387           1         2         8         8         10        1                   2.9                 3.8                 
Pavarde388          Vardas388           1         4         7         9         9         6                   6                   6.4                 
Pavarde389          Vardas389           1         5         8         8         9         1                   3.1                 3.8                 
Pavarde390          Vardas390           6         8         8         10        10        4                   5.8                 5.6                 
Pavarde391          Vardas391           1         7         7         9         10        7                   6.9                 7                   
Pavarde392          Vardas392           1         1         1         3         7         1                   1.6                 1                   
Pavarde393          Vardas393           6         7         8         10        10        5                   6.3                 6.2                 
Pavarde394          Vardas394           2         7         8         8         9         9                   8.1                 8.6                 
Pavarde395          Vardas395           1         2         3         7         8         10                  7.7                 7.2                 
Pavarde396          Vardas396           2         5         7         8         9         10                  8.5                 8.8                 
Pavarde397          Vardas397           2         4         4         4         6         1                   2.2                 2.2                 
Pavarde398          Vardas398           1         5         6         6         6         8                   6.7                 7.2                 
Pavarde399          Vardas399           1         5         6         8         10        6                   6                   6                   
Pavarde400          Vardas400           5         7         7         9         9         1                   3.6                 3.4                 
Pavarde401          Vardas401           7         7         7         9         10        6                   6.8                 6.4                 
Pavarde402          Vardas402           5         9         9         10        10        6                   7                   7.2                 
Pavarde403          Vardas403           2         2         5         7         8         4                   4.3                 4.4                 
Pavarde404          Vardas404           1         5         8         9         10        4                   5                   5.6                 
Pavarde405          Vardas405           1         6         7         7         8         2                   3.5                 4                   
Pavarde406          Vardas406           3         3         6         8         8         8                   7                   7.2                 
Pavarde407          Vardas407           1         1         6         8         10        5                   5.1                 5.4                 
Pavarde408          Vardas408           1         4         8         8         10        4                   4.9                 5.6                 
Pavarde409          Vardas409           1         1         2         7         9         7                   5.8                 5                   
Pavarde410          Vardas410           2         6         7         7         8         4                   4.8                 5.2                 
Pavarde411          Vardas411           2         3         3         6         9         2                   3                   2.4                 
Pavarde412          Vardas412           3         4         4         6         6         4                   4.2                 4                   
Pavarde413          Vardas413           1         3         5         6         8         7                   6                   6.2                 
Pavarde414          Vardas414           1         5         6         9         9         6                   6                   6                   
Pavarde415          Vardas415           3         4         7         8         8         3                   4.2                 4.6                 
Pavarde416          Vardas416           2         7         8         8         9         3                   4.5                 5                   
Pavarde417          Vardas417           1         5         5         10        10        7                   6.7                 6.2                 
Pavarde418          Vardas418           4         7         9         9         10        3                   4.9                 5.4                 
Pavarde419          Vardas419           1         4         6         8         9         6                   5.8                 6                   
Pavarde420          Vardas420           3         6         8         8         8         5                   5.6                 6.2                 
Pavarde421          Vardas421           2         3         5         9         10        2                   3.5                 3.2                 
Pavarde422          Vardas422           2         5         8         8         10        9                   8                   8.6                 
Pavarde423          Vardas423           5         7         7         9         9         9                   8.4                 8.2                 
Pavarde424          Vardas424           3         3         4         4         6         6                   5.2                 5.2                 
Pavarde425          Vardas425           6         6         7         7         10        4                   5.3                 5.2                 
Pavarde426          Vardas426           4         5         7         10        10        2                   4.1                 4                   
Pavarde427          Vardas427           3         3         5         6         6         2                   3                   3.2                 
Pavarde428          Vardas428           5         5         5         8         8         7                   6.7                 6.2                 
Pavarde429          Vardas429           3         6         6         7         7         10                  8.3                 8.4                 
Pavarde430          Vardas430           1         6         6         8         10        7                   6.7                 6.6                 
Pavarde431          Vardas431           6         7         9         10        10        3                   5.2                 5.4                 
Pavarde432          Vardas432           5         5         7         9         10        2                   4.1                 4                   
Pavarde433          Vardas433           1         2         3         8         9         1                   2.4                 1.8                 
Pavarde434          Vardas434           1         6         8         9         10        8                   7.5                 8                   
Pavarde435          Vardas435           2         3         4         6         7         2                   3                   2.8                 
Pavarde436          Vardas436           5         7         7         9         10        10                  9                   8.8                 
Pavarde437          Vardas437           2         5         6         7         10        2                   3.6                 3.6                 
Pavarde438          Vardas438           4         6         8         9         10        1                   3.6                 3.8                 
Pavarde439          Vardas439           3         7         8         9         9         3                   4.7                 5                   
Pavarde440          Vardas440           1         2         6         9         10        7                   6.4                 6.6                 
Pavarde441          Vardas441           1         2         3         6         9         3                   3.5                 3                   
Pavarde442          Vardas442           4         4         6         7         10        8                   7.3                 7.2                 
Pavarde443          Vardas443           3         4         5         8         9         8                   7.1                 6.8                 
Pavarde444          Vardas444           2         5         6         7         8         9                   7.6                 7.8                 
Pavarde445          Vardas445           1         1         6         7         10        10                  8                   8.4                 
Pavarde446          Vardas446           1         6         6         7         8         2                   3.4                 3.6                 
Pavarde447          Vardas447           1         3         6         6         9         2                   3.2                 3.6                 
Pavarde448          Vardas448           1         2         6         8         10        1                   2.8                 3                   
Pavarde449          Vardas449           2         3         4         6         8         2                   3                   2.8                 
Pavarde450          Vardas450           1         2         6         7         9         1                   2.6                 3                   
Pavarde451          Vardas451           1         5         5         7         10        2                   3.4                 3.2                 
Pavarde452          Vardas452           3         7         7         9         10        5                   5.9                 5.8                 
Pavarde453          Vardas453           2         3         5         7         7         4                   4.3                 4.4                 
Pavarde454          Vardas454           7         8         8         9         9         8                   8.1                 8                   
Pavarde455          Vardas455           1         3         4         9         10        8                   7                   6.4                 
Pavarde456          Vardas456           3         4         5         6         10        10                  8.2                 8                   
Pavarde457          Vardas457           5         8         9         10        10        10                  9.4                 9.6                 
Pavarde458          Vardas458           2         2         3         5         10        5                   4.8                 4.2                 
Pavarde459          Vardas459           3         3         5         7         10        10                  8.2                 8                   
Pavarde460          Vardas460           5         7         9         10        10        5                   6.3                 6.6                 
Pavarde461          Vardas461           3         3         4         6         9         9                   7.4                 7                   
Pavarde462          Vardas462           3         4         5         5         5         6                   5.4                 5.6                 
Pavarde463          Vardas463           1         1         1         3         5         5                   3.9                 3.4                 
Pavarde464          Vardas464           5         6         6         6         7         2                   3.6                 3.6                 
Pavarde465          Vardas465           1         2         2         5         10        4                   4                   3.2                 
Pavarde466          Vardas466           2         4         7         7         8         5                   5.2                 5.8                 
Pavarde467          Vardas467           5         7         7         7         8         1                   3.3                 3.4                 
Pavarde468          Vardas468           1         3         5         5         7         3                   3.5                 3.8                 
Pavarde469          Vardas469           4         4         6         7         8         9                   7.7                 7.8                 
Pavarde470          Vardas470           4         4         7         7         9         10                  8.5                 8.8                 
Pavarde471          Vardas471           1         3         6         7         8         3                   3.8                 4.2                 
Pavarde472          Vardas472           5         7         7         7         8         6                   6.3                 6.4                 
Pavarde473          Vardas473           2         5         6         8         8         2                   3.5                 3.6                 
Pavarde474          Vardas474           1         3         8         9         10        2                   3.7                 4.4                 
Pavarde475          Vardas475           2         6         8         8         8         7                   6.8                 7.4                 
Pavarde476          Vardas476           3         5         5         7         9         1                   2.9                 2.6                 
Pavarde477          Vardas477           2         3         5         5         10        7                   6.2                 6.2                 
Pavarde478          Vardas478           4         5         6         9         9         2                   3.8                 3.6                 
Pavarde479          Vardas479           7         7         8         8         10        10                  9.2                 9.2                 
Pavarde480          Vardas480           2         3         5         5         9         8                   6.7                 6.8                 
Pavarde481          Vardas481           3         4         5         5         9         5                   5.1                 5                   
Pavarde482          Vardas482           3         6         7         8         8         3                   4.4                 4.6                 
Pavarde483          Vardas483           3         4         9         9         10        5                   5.8                 6.6                 
Pavarde484          Vardas484           3         4         6         8         10        3                   4.3                 4.2                 
Pavarde485          Vardas485           1         2         3         5         5         9                   6.7                 6.6                 
Pavarde486          Vardas486           3         4         6         7         8         3                   4                   4.2                 
Pavarde487          Vardas487           3         3         3         7         9         10                  8                   7.2                 
Pavarde488          Vardas488           2         4         4         8         9         1                   2.8                 2.2                 
Pavarde489          Vardas489           1         2         7         8         10        6                   5.8                 6.4                 
Pavarde490          Vardas490           2         2         6         6         6         3                   3.6                 4.2                 
Pavarde491          Vardas491           3         4         4         6         9         8                   6.9                 6.4                 
Pavarde492          Vardas492           3         4         4         6         8         9                   7.4                 7                   
Pavarde493          Vardas493           1         2         4         7         7         8                   6.5                 6.4                 
Pavarde494          Vardas494           4         8         8         9         10        5                   6.1                 6.2                 
Pavarde495          Vardas495           1         2         4         5         6         7                   5.6                 5.8                 
Pavarde496          Vardas496           1         1         4         5         10        9                   7.1                 7                   
Pavarde497          Vardas497           1         2         5         7         7         8                   6.6                 6.8                 
Pavarde498          Vardas498           1         5         6         8         9         6                   5.9                 6                   
Pavarde499          Vardas499           2         4         5         7         8         5                   5.1                 5                   
Pavarde500          Vardas500           1         5         5         7         10        10                  8.2                 8                   
Pavarde501          Vardas501           3         4         7         7         8         6                   5.9                 6.4                 
Pavarde502          Vardas502           3         3         6         7         8         10                  8.2                 8.4                 
Pavarde503          Vardas503           1         6         7         8         10        1                   3.2                 3.4                 
Pavarde504          Vardas504           1         6         6         8         9         10                  8.4                 8.4                 
Pavarde505          Vardas505           5         6         6         9         10        6                   6.5                 6                   
Pavarde506          Vardas506           2         5         7         8         9         7                   6.7                 7                   
Pavarde507          Vardas507           1         4         4         5         9         9                   7.2                 7                   
Pavarde508          Vardas508           1         3         3         4         5         5                   4.3                 4.2                 
Pavarde509          Vardas509           1         2         4         8         8         1                   2.4                 2.2                 
Pavarde510          Vardas510           1         1         2         6         7         7                   5.6                 5                   
Pavarde511          Vardas511           1         3         5         5         6         1                   2.2                 2.6                 
Pavarde512          Vardas512           3         6         6         8         10        1                   3.2                 3                   
Pavarde513          Vardas513           7         7         7         8         9         6                   6.6                 6.4                 
Pavarde514          Vardas514           3         4         5         5         9         6                   5.7                 5.6                 
Pavarde515          Vardas515           2         3         7         9         10        5                   5.5                 5.8                 
Pavarde516          Vardas516           3         5         6         7         10        10                  8.5                 8.4                 
Pavarde517          Vardas517           1         2         2         5         9         3                   3.3                 2.6                 
Pavarde518          Vardas518           1         5         6         7         10        4                   4.7                 4.8                 
Pavarde519          Vardas519           1         2         6         6         9         4                   4.3                 4.8                 
Pavarde520          Vardas520           1         2         6         7         8         7                   6.1                 6.6                 
Pavarde521          Vardas521           1         1         3         5         7         9                   6.8                 6.6                 
Pavarde522          Vardas522           2         5         6         7         10        8                   7.2                 7.2                 
Pavarde523          Vardas523           2         3         7         7         8         2                   3.4                 4                   
Pavarde524          Vardas524           1         6         9         9         10        6                   6.4                 7.2                 
Pavarde525          Vardas525           4         7         8         8         10        5                   6                   6.2                 
Pavarde526          Vardas526           1         1         1         3         9         4                   3.6                 2.8                 
Pavarde527          Vardas527           2         4         6         8         9         8                   7.1                 7.2                 
Pavarde528          Vardas528           7         8         10        10        10        4                   6                   6.4                 
Pavarde529          Vardas529           3         3         3         5         9         3                   3.6                 3                   
Pavarde530          Vardas530           1         3         5         6         7         10                  7.8                 8                   
Pavarde531          Vardas531           2         3         3         4         6         4                   3.8                 3.6                 
Pavarde532          Vardas532           4         5         6         7         10        2                   3.8                 3.6                 
Pavarde533          Vardas533           1         4         5         6         6         1                   2.4                 2.6                 
Pavarde534          Vardas534           1         2         3         4         4         4                   3.5                 3.6                 
Pavarde535          Vardas535           2         3         8         8         9         5                   5.4                 6.2                 
Pavarde536          Vardas536           2         3         4         10        10        6                   5.9                 5.2                 
Pavarde537          Vardas537           1         2         3         8         10        9                   7.3                 6.6                 
Pavarde538          Vardas538           4         5         6         8         10        2                   3.8                 3.6                 
Pavarde539          Vardas539           2         7         9         10        10        5                   6                   6.6                 
Pavarde540          Vardas540           1         3         4         6         6         3                   3.4                 3.4                 
Pavarde541          Vardas541           2         4         6         7         7         5                   5.1                 5.4                 
Pavarde542          Vardas542           1         3         4         5         9         2                   3                   2.8                 
Pavarde543          Vardas543           1         2         7         9         10        2                   3.5                 4                   
Pavarde544          Vardas544           2         3         4         6         10        4                   4.4                 4                   
Pavarde545          Vardas545           2         6         6         9         10        6                   6.2                 6                   
Pavarde546          Vardas546           1         3         5         5         7         2                   2.9                 3.2                 
Pavarde547          Vardas547           2         5         5         7         9         9                   7.6                 7.4                 
Pavarde548          Vardas548           1         5         5         6         8         6                   5.6                 5.6                 
Pavarde549          Vardas549           1         3         5         9         10        2                   3.4                 3.2                 
Pavarde550          Vardas550           1         4         6         6         9         1                   2.7                 3                   
Pavarde551          Vardas551           1         3         6         6         8         7                   6.1                 6.6                 
Pavarde552          Vardas552           4         6         7         8         9         8                   7.5                 7.6                 
Pavarde553          Vardas553           1         2         5         6         10        1                   2.5                 2.6                 
Pavarde554          Vardas554           1         2         3         8         9         10                  7.8                 7.2                 
Pavarde555          Vardas555           1         3         6         7         10        1                   2.8                 3                   
Pavarde556          Vardas556           5         6         6         9         10        9                   8.3                 7.8                 
Pavarde557          Vardas557           6         9         9         9         9         7                   7.6                 7.8                 
Pavarde558          Vardas558           3         3         4         9         9         4                   4.6                 4                   
Pavarde559          Vardas559           4         4         5         8         10        1                   3.1                 2.6                 
Pavarde560          Vardas560           4         5         7         7         8         2                   3.7                 4                   
Pavarde561          Vardas561           2         4         5         5         8         9                   7.3                 7.4                 
Pavarde562          Vardas562           2         3         5         6         6         2                   3                   3.2                 
Pavarde563          Vardas563           1         5         6         6         7         7                   6.2                 6.6                 
Pavarde564          Vardas564           1         2         3         4         7         3                   3.2                 3                   
Pavarde565          Vardas565           1         2         4         6         10        3                   3.6                 3.4                 
Pavarde566          Vardas566           3         4         5         8         10        6                   6                   5.6                 
Pavarde567          Vardas567           1         4         6         7         9         10                  8.2                 8.4                 
Pavarde568          Vardas568           3         3         4         7         7         4                   4.3                 4                   
Pavarde569          Vardas569           1         1         1         2         4         6                   4.3                 4                   
Pavarde570          Vardas570           2         3         8         9         9         5                   5.5                 6.2                 
Pavarde571          Vardas571           1         2         3         5         6         7                   5.6                 5.4                 
Pavarde572          Vardas572           1         2         2         4         8         1                   2                   1.4                 
Pavarde573          Vardas573           1         3         4         7         8         4                   4.2                 4                   
Pavarde574          Vardas574           1         3         3         6         10        1                   2.4                 1.8                 
Pavarde575          Vardas575           2         6         7         8         10        4                   5                   5.2                 
Pavarde576          Vardas576           2         4         6         6         7         6                   5.6                 6                   
Pavarde577          Vardas577           3         3         6         7         7         6                   5.7                 6                   
Pavarde578          Vardas578           1         1         5         5         10        5                   4.8                 5                   
Pavarde579          Vardas579           1         3         3         4         10        9                   7.1                 6.6                 
Pavarde580          Vardas580           1         3         4         6         9         9                   7.2                 7                   
Pavarde581          Vardas581           6         6         9         10        10        8                   8.1                 8.4                 
Pavarde582          Vardas582           4         6         7         10        10        5                   6                   5.8                 
Pavarde583          Vardas583           3         3         6         8         10        10                  8.4                 8.4                 
Pavarde584          Vardas584           4         4         6         7         10        3                   4.3                 4.2                 
Pavarde585          Vardas585           4         5         5         8         10        10                  8.6                 8                   
Pavarde586          Vardas586           4         8         8         9         9         2                   4.2                 4.4                 
Pavarde587          Vardas587           3         7         9         9         10        10                  9                   9.6                 
Pavarde588          Vardas588           1         4         6         10        10        1                   3.1                 3                   
Pavarde589          Vardas589           2         4         5         8         10        4                   4.7                 4.4                 
Pavarde590          Vardas590           4         7         8         8         10        8                   7.8                 8                   
Pavarde591          Vardas591           1         4         5         5         8         7                   6                   6.2                 
Pavarde592          Vardas592           3         7         8         9         9         4                   5.3                 5.6                 
Pavarde593          Vardas593           2         3         3         5         9         5                   4.8                 4.2                 
Pavarde594          Vardas594           2         3         4         6         8         7                   6                   5.8                 
Pavarde595          Vardas595           4         7         7         8         10        7                   7.1                 7                   
Pavarde596          Vardas596           1         2         2         6         7         7                   5.6                 5                   
Pavarde597          Vardas597           5         6         7         7         7         8                   7.4                 7.6                 
Pavarde598          Vardas598           4         8         8         9         9         1                   3.6                 3.8                 
Pavarde599          Vardas599           3         6         9         10        10        7                   7.2                 7.8                 
Pavarde600          Vardas600           5         7         8         9         10        8                   7.9                 8                   
Pavarde601          Vardas601           1         3         8         9         9         8                   7.2                 8                   
Pavarde602          Vardas602           4         4         7         7         8         8                   7.2                 7.6                 
Pavarde603          Vardas603           1         4         6         6         9         1                   2.7                 3                   
Pavarde604          Vardas604           2         6         7         9         10        3                   4.5                 4.6                 
Pavarde605          Vardas605           4         6         8         9         9         10                  8.9                 9.2                 
Pavarde606          Vardas606           2         3         4         5         8         8                   6.6                 6.4                 
Pavarde607          Vardas607           4         5         8         9         9         4                   5.2                 5.6                 
Pavarde608          Vardas608           4         7         7         9         10        2                   4.2                 4                   
Pavarde609          Vardas609           2         2         4         4         9         8                   6.5                 6.4                 
Pavarde610          Vardas610           3         7         8         9         10        4                   5.4                 5.6                 
Pavarde611          Vardas611           5         6         6         7         10        8                   7.5                 7.2                 
Pavarde612          Vardas612           1         3         5         8         9         5                   5.1                 5                   
Pavarde613          Vardas613           3         5         6         7         9         5                   5.4                 5.4                 
Pavarde614          Vardas614           2         2         4         5         7         6                   5.2                 5.2                 
Pavarde615          Vardas615           2         3         4         5         5         10                  7.5                 7.6                 
Pavarde616          Vardas616           1         3         6         7         10        7                   6.4                 6.6                 
Pavarde617          Vardas617           2         4         7         8         10        3                   4.3                 4.6                 
Pavarde618          Vardas618           1         7         7         8         8         4                   4.9                 5.2                 
Pavarde619          Vardas619           1         3         9         10        10        4                   5                   6                   
Pavarde620          Vardas620           3         4         6         6         10        10                  8.3                 8.4                 
Pavarde621          Vardas621           1         2         7         9         9         7                   6.4                 7                   
Pavarde622          Vardas622           1         3         3         3         3         5                   4                   4.2                 
Pavarde623          Vardas623           2         7         8         8         10        5                   5.8                 6.2                 
Pavarde624          Vardas624           1         2         2         3         7         9                   6.6                 6.2                 
Pavarde625          Vardas625           1         1         1         2         5         7                   5                   4.6                 
Pavarde626          Vardas626           1         2         2         3         9         8                   6.2                 5.6                 
Pavarde627          Vardas627           2         3         5         7         10        6                   5.8                 5.6                 
Pavarde628          Vardas628           1         2         4         7         9         5                   4.8                 4.6                 
Pavarde629          Vardas629           5         6         7         9         10        6                   6.6                 6.4                 
Pavarde630          Vardas630           2         5         6         6         9         6                   5.8                 6                   
Pavarde631          Vardas631           2         5         7         8         8         2                   3.6                 4                   
Pavarde632          Vardas632           1         4         4         6         8         4                   4.2                 4                   
Pavarde633          Vardas633           1         4         6         8         10        5                   5.3                 5.4                 
Pavarde634          Vardas634           2         3         4         8         10        3                   4                   3.4                 
Pavarde635          Vardas635           3         5         7         8         10        8                   7.4                 7.6                 
Pavarde636          Vardas636           2         2         4         5         7         3                   3.4                 3.4                 
Pavarde637          Vardas637           1         4         6         7         10        7                   6.4                 6.6                 
Pavarde638          Vardas638           3         5         6         9         9         5                   5.6                 5.4                 
Pavarde639          Vardas639           2         4         4         10        10        7                   6.6                 5.8                 
Pavarde640          Vardas640           5         6         6         6         7         7                   6.6                 6.6                 
Pavarde641          Vardas641           1         5         5         6         9         4                   4.5                 4.4                 
Pavarde642          Vardas642           7         8         9         9         10        1                   4                   4.2                 
Pavarde643          Vardas643           3         4         4         8         9         6                   5.8                 5.2                 
Pavarde644          Vardas644           4         4         9         10        10        3                   4.8                 5.4                 
Pavarde645          Vardas645           3         4         5         9         10        6                   6.1                 5.6                 
Pavarde646          Vardas646           2         4         5         8         9         7                   6.4                 6.2                 
Pavarde647          Vardas647           5         6         8         8         9         4                   5.3                 5.6                 
Pavarde648          Vardas648           1         3         4         6         9         1                   2.4                 2.2                 
Pavarde649          Vardas649           1         3         5         6         10        10                  8                   8                   
Pavarde650          Vardas650           1         3         4         6         8         4                   4.2                 4                   
Pavarde651          Vardas651           2         2         6         7         10        3                   4                   4.2                 
Pavarde652          Vardas652           3         5         6         7         8         4                   4.7                 4.8                 
Pavarde653          Vardas653           3         4         6         7         10        9                   7.8                 7.8                 
Pavarde654          Vardas654           4         7         8         9         10        2                   4.2                 4.4                 
Pavarde655          Vardas655           1         2         7         8         9         9                   7.6                 8.2                 
Pavarde656          Vardas656           3         8         9         9         10        3                   4.9                 5.4                 
Pavarde657          Vardas657           1         2         3         4         6         3                   3.1                 3                   
Pavarde658          Vardas658           2         5         7         8         10        5                   5.6                 5.8                 
Pavarde659          Vardas659           4         5         6         9         10        8                   7.5                 7.2                 
Pavarde660          Vardas660           1         5         5         8         10        4                   4.7                 4.4                 
Pavarde661          Vardas661           2         4         6         6         9         6                   5.8                 6                   
Pavarde662          Vardas662           5         6         7         8         10        2                   4.1                 4                   
Pavarde663          Vardas663           7         8         8         9         9         6                   6.9                 6.8                 
Pavarde664          Vardas664           1         6         8         8         9         9                   8                   8.6                 
Pavarde665          Vardas665           2         5         5         6         7         7                   6.2                 6.2                 
Pavarde666          Vardas666           2         3         3         7         9         10                  7.9                 7.2                 
Pavarde667          Vardas667           1         2         3         7         7         1                   2.2                 1.8                 
Pavarde668          Vardas668           7         8         9         10        10        4                   5.9                 6                   
Pavarde669          Vardas669           2         3         5         7         8         4                   4.4                 4.4                 
Pavarde670          Vardas670           1         3         3         3         5         2                   2.4                 2.4                 
Pavarde671          Vardas671           2         2         8         9         9         6                   6                   6.8                 
Pavarde672          Vardas672           5         6         9         9         9         5                   6                   6.6                 
Pavarde673          Vardas673           2         4         6         6         8         6                   5.7                 6                   
Pavarde674          Vardas674           2         3         5         9         10        7                   6.5                 6.2                 
Pavarde675          Vardas675           1         1         5         9         10        1                   2.7                 2.6                 
Pavarde676          Vardas676           5         7         8         9         9         7                   7.2                 7.4                 
Pavarde677          Vardas677           3         4         4         7         9         5                   5.2                 4.6                 
Pavarde678          Vardas678           1         2         5         7         8         8                   6.6                 6.8                 
Pavarde679          Vardas679           1         5         9         9         10        6                   6.3                 7.2                 
Pavarde680          Vardas680           6         6         6         9         10        9                   8.4                 7.8                 
Pavarde681          Vardas681           2         3         4         6         7         8                   6.6                 6.4                 
Pavarde682          Vardas682           1         1         6         6         7         1                   2.3                 3                   
Pavarde683          Vardas683           2         3         6         7         8         5                   5.1                 5.4                 
Pavarde684          Vardas684           3         6         6         8         10        8                   7.4                 7.2                 
Pavarde685          Vardas685           1         2         2         6         10        7                   5.9                 5                   
Pavarde686          Vardas686           1         4         5         9         9         3                   4                   3.8                 
Pavarde687          Vardas687           4         4         8         8         10        5                   5.7                 6.2                 
Pavarde688          Vardas688           1         4         4         4         7         2                   2.8                 2.8                 
Pavarde689          Vardas689           3         6         7         9         10        7                   7                   7                   
Pavarde690          Vardas690           3         4         5         5         6         3                   3.6                 3.8                 
Pavarde691          Vardas691           3         6         7         7         7         8                   7.2                 7.6                 
Pavarde692          Vardas692           2         5         6         6         7         4                   4.5                 4.8                 
Pavarde693          Vardas693           1         2         7         8         8         1                   2.7                 3.4                 
Pavarde694          Vardas694           5         7         7         7         8         7                   6.9                 7                   
Pavarde695          Vardas695           1         3         7         8         10        4                   4.7                 5.2                 
Pavarde696          Vardas696           3         3         3         5         5         6                   5.1                 4.8                 
Pavarde697          Vardas697           3         4         4         10        10        8                   7.3                 6.4                 
Pavarde698          Vardas698           2         2         4         5         7         6                   5.2                 5.2                 
Pavarde699          Vardas699           1         2         4         8         8         2                   3                   2.8                 
Pavarde700          Vardas700           2         3         7         8         10        2                   3.6                 4                   
Pavarde701          Vardas701           3         3         4         5         6         5                   4.7                 4.6                 
Pavarde702          Vardas702           4         5         5         10        10        6                   6.3                 5.6                 
Pavarde703          Vardas703           1         4         6         7         10        8                   7                   7.2                 
Pavarde704          Vardas704           1         3         5         5         8         8                   6.6                 6.8                 
Pavarde705          Vardas705           1         3         5         7         9         1                   2.6                 2.6                 
Pavarde706          Vardas706           2         2         4         4         6         7                   5.6                 5.8                 
Pavarde707          Vardas707           2         4         5         5         6         2                   3                   3.2                 
Pavarde708          Vardas708           1         3         3         5         5         8                   6.2                 6                   
Pavarde709          Vardas709           3         4         4         7         10        3                   4                   3.4                 
Pavarde710          Vardas710           2         4         7         9         9         10                  8.5                 8.8                 
Pavarde711          Vardas711           1         2         5         6         8         6                   5.4                 5.6                 
Pavarde712          Vardas712           3         3         3         8         10        4                   4.6                 3.6                 
Pavarde713          Vardas713           3         6         7         8         8         9                   8                   8.2                 
Pavarde714          Vardas714           4         5         8         9         9         8                   7.6                 8                   
Pavarde715          Vardas715           1         2         3         5         10        9                   7.1                 6.6                 
Pavarde716          Vardas716           5         8         9         9         10        3                   5.1                 5.4                 
Pavarde717          Vardas717           1         2         6         10        10        9                   7.7                 7.8                 
Pavarde718          Vardas718           1         2         3         8         9         3                   3.6                 3                   
Pavarde719          Vardas719           1         2         2         5         9         2                   2.7                 2                   
Pavarde720          Vardas720           2         3         4         5         10        4                   4.3                 4                   
Pavarde721          Vardas721           3         3         7         7         8         9                   7.6                 8.2                 
Pavarde722          Vardas722           2         3         4         5         9         7                   6                   5.8                 
Pavarde723          Vardas723           1         1         1         2         5         9                   6.2                 5.8                 
Pavarde724          Vardas724           1         5         9         9         10        5                   5.7                 6.6                 
Pavarde725          Vardas725           4         5         6         7         7         10                  8.3                 8.4                 
Pavarde726          Vardas726           2         4         4         8         9         3                   4                   3.4                 
Pavarde727          Vardas727           3         3         3         4         5         8                   6.2                 6                   
Pavarde728          Vardas728           2         3         3         4         4         2                   2.5                 2.4                 
Pavarde729          Vardas729           2         4         8         9         10        6                   6.2                 6.8                 
Pavarde730          Vardas730           2         3         6         9         10        2                   3.6                 3.6                 
Pavarde731          Vardas731           2         3         7         8         10        4                   4.8                 5.2                 
Pavarde732          Vardas732           1         2         5         5         9         1                   2.4                 2.6                 
Pavarde733          Vardas733           6         6         6         9         10        7                   7.2                 6.6                 
Pavarde734          Vardas734           4         6         8         9         9         3                   4.7                 5                   
Pavarde735          Vardas735           3         6         6         8         9         9                   8                   7.8                 
Pavarde736          Vardas736           1         3         4         9         10        1                   2.8                 2.2                 
Pavarde737          Vardas737           1         2         5         9         10        2                   3.4                 3.2                 
Pavarde738          Vardas738           4         5         5         5         7         1                   2.7                 2.6                 
Pavarde739          Vardas739           1         5         5         6         8         7                   6.2                 6.2                 
Pavarde740          Vardas740           4         6         7         9         10        5                   5.9                 5.8                 
Pavarde741          Vardas741           2         2         6         7         10        10                  8.2                 8.4                 
Pavarde742          Vardas742           5         6         6         7         8         1                   3.2                 3                   
Pavarde743          Vardas743           1         3         3         4         6         2                   2.6                 2.4                 
Pavarde744          Vardas744           1         2         6         6         9         3                   3.7                 4.2                 
Pavarde745          Vardas745           1         2         3         7         8         6                   5.3                 4.8                 
Pavarde746          Vardas746           2         4         5         7         9         3                   4                   3.8                 
Pavarde747          Vardas747           2         4         5         6         8         9                   7.4                 7.4                 
Pavarde748          Vardas748           1         4         5         5         10        3                   3.8                 3.8                 
Pavarde749          Vardas749           3         3         3         5         6         9                   7                   6.6                 
Pavarde750          Vardas750           2         3         3         7         8         10                  7.8                 7.2                 
Pavarde751          Vardas751           1         2         3         6         6         4                   3.8                 3.6                 
Pavarde752          Vardas752           2         2         6         7         10        9                   7.6                 7.8                 
Pavarde753          Vardas753           1         1         2         5         7         3                   3.1                 2.6                 
Pavarde754          Vardas754           2         7         9         9         10        8                   7.8                 8.4                 
Pavarde755          Vardas755           1         2         3         5         10        9                   7.1                 6.6                 
Pavarde756          Vardas756           1         2         7         9         10        6                   5.9                 6.4                 
Pavarde757          Vardas757           2         4         7         8         10        2                   3.7                 4                   
Pavarde758          Vardas758           1         1         2         2         8         9                   6.5                 6.2                 
Pavarde759          Vardas759           4         5         6         6         7         5                   5.2                 5.4                 
Pavarde760          Vardas760           2         3         5         7         8         6                   5.6                 5.6                 
Pavarde761          Vardas761           4         4         4         8         10        6                   6                   5.2                 
Pavarde762          Vardas762           2         5         5         5         10        5                   5.2                 5                   
Pavarde763          Vardas763           2         9         9         10        10        8                   8                   8.4                 
Pavarde764          Vardas764           1         5         5         6         6         2                   3                   3.2                 
Pavarde765          Vardas765           1         1         3         6         8         2                   2.7                 2.4                 
